type,id
domain,ac-connection-status105.azurewebsites.net
domain,acc-cloud-connection.azurewebsites.net
domain,active-az-check-status45.azurewebsites.net
domain,active-az-check-status675.azurewebsites.net
domain,active-az-status45.azurewebsites.net
domain,active-az-status795.azurewebsites.net
domain,active-internal-log65.azurewebsites.net
domain,active-internal-logs.azurewebsites.net
domain,active-intranet-logs.azurewebsites.net
domain,airbus.usa-careers.com
domain,airlinecontrolsite.uaenorth.cloudapp.azure.com
domain,airlinecontrolsite.westus3.cloudapp.azure.com
domain,airplaneserviceticketings.com
domain,airseatregister.eastus.cloudapp.azure.com
domain,airseatsregister.qatarcentral.cloudapp.azure.com
domain,airseatsregistering.qatarcentral.cloudapp.azure.com
domain,airtravellog.com
domain,automationagencybusiness.azurewebsites.net
domain,automationagencybusiness.com
domain,browsercheckap.azurewebsites.net
domain,codesparkle.eastus.cloudapp.azure.com
domain,connect-acc-492.azurewebsites.net
domain,connect-acl-492.azurewebsites.net
domain,customerlistchange.eastus.cloudapp.azure.com
domain,developercodepro.azurewebsites.net
domain,developercodevista.azurewebsites.net
domain,dreamtiniventures.azurewebsites.net
domain,fdtsprobusinesssolutions.azurewebsites.net
domain,fdtsprobusinesssolutions.com
domain,fdtsprobusinesssolutions.eastus.cloudapp.azure.com
domain,fdtsprobusinesssolutions.northeurope.cloudapp.azure.com
domain,forcecodestore.com
domain,hserbhh43.westus3.cloudapp.azure.com
domain,infrasync-ac372.azurewebsites.net
domain,intra-az-check-status45.azurewebsites.net
domain,intra-az-check-status675.azurewebsites.net
domain,intra-az-status45.azurewebsites.net
domain,intra-az-status795.azurewebsites.net
domain,masterflexiblecloud.azurewebsites.net
domain,mso-internal-log65.azurewebsites.net
domain,mso-internal-logs.azurewebsites.net
domain,mso-intranet-logs.azurewebsites.net
domain,mydocs.qatarcentral.cloudapp.azure.com
domain,nx425-win4945.azurewebsites.net
domain,nx4542-win4957.azurewebsites.net
domain,nxlog-crash-1567.azurewebsites.net
domain,nxlog-win-1567.azurewebsites.net
domain,nxversion-win-1567.azurewebsites.net
domain,nxversion-win32-1127.azurewebsites.net
domain,overqatfa.northeurope.cloudapp.azure.com
domain,politicalanorak.com
domain,queuetestapplication.azurewebsites.net
domain,skychain13424.azurewebsites.net
domain,skychain41334.northeurope.cloudapp.azure.com
domain,skychains42745.eastus.cloudapp.azure.com
domain,skyticketgrant.azurewebsites.net
domain,snare-core.azurewebsites.net
domain,storageboxcloud.northeurope.cloudapp.azure.com
domain,storagewiz.co.azurewebsites.net
domain,swiftcode.eastus.cloudapp.azure.com
domain,swifttiniventures.azurewebsites.net
domain,terratechworld.eastus.cloudapp.azure.com
domain,thecloudappbox.azurewebsites.net
domain,thestorageboxcloud.northeurope.cloudapp.azure.com
domain,thetacticstore.com
domain,thevaultapp.westus3.cloudapp.azure.com
domain,thevaultspace.eastus.cloudapp.azure.com
domain,tini-ventures.com
domain,vcphone-ms.azurewebsites.net
domain,vcs-news.com
domain,vm-ticket-svc.azurewebsites.net
domain,vm-tools-svc.azurewebsites.net
domain,vmware-health-ms.azurewebsites.net
ip_address,104.194.215.88
ip_address,13.60.50.172
ip_address,167.172.137.208
ip_address,34.18.42.26
ip_address,4.188.75.206
ip_address,4.240.113.27
ip_address,40.119.176.233
